Data Series,Total All Markets,  America,    Antigua And Barbuda,    Argentina,    Bahamas,    Bermuda,    Brazil,    Canada,    Chile,    Colombia,    Costa Rica,    Cuba,    Dominican Rep,    Ecuador,    El Salvador,    Guatemala,    Guyana,    Honduras,    Jamaica,    Mexico,    Netherlands Antilles,    Panama,    Paraguay,    Peru,    Puerto Rico,    St. Vincent And The Grenadines,    Trinidad And Tobago,    United States,    United States Virgin Islands,    Uruguay,    Venezuela,    Other Markets America,  Asia,    Afghanistan,    Bahrain,    Bangladesh,    Brunei,    Cambodia,    China,    Christmas Island,    Hong Kong,    India,    Indonesia,    Iran,    Iraq,    Israel,    Japan,    Jordan,    Kazakhstan,"    Korea, Dem Peo Rep Of","    Korea, Rep Of",    Kuwait,    Lao,    Lebanon,    Macao,    Malaysia,    Maldives,    Mongolia,    Myanmar,    Nepal,    Oman,    Pakistan,    Philippines,    Qatar,    Saudi Arabia,    Sri Lanka,    Syria,    Taiwan,    Thailand,    Turkiye,    United Arab Emirates,    Viet Nam,    Yemen,    Other Markets Asia,  Europe,    Austria,    Belarus,    Belgium,    Bulgaria,    Croatia,    Cyprus,    Czech Rep,    Denmark,    Estonia,    Finland,    France,    Germany,    Greece,    Hungary,    Ireland,    Italy,    Latvia,    Lithuania,    Luxembourg,    Malta,    Netherlands,    Norway,    Poland,    Portugal,    Romania,    Russia,    Slovakia,    Slovenia,    Spain,    Svalbard And Jan Mayen Islands,    Sweden,    Switzerland,    Ukraine,    United Kingdom,    Other Markets Europe,  Oceania,    Antarctica,    Australia,    Fiji,    French Polynesia,    Guam,    Marshall Islands,    New Caledonia,    New Zealand,    Northern Mariana Islands,    Papua New Guinea,    Samoa,    Solomon Islands,    Vanuatu,    Other Markets Oceania,  Africa,    Algeria,    Angola,    Benin,    Cameroon,    Cape Verde,    Comoros,"    Congo, Dem Rep Of",    Cote D'ivoire,    Djibouti,    Egypt,    Ethiopia,    Gabon,    Ghana,    Guinea,    Kenya,    Liberia,    Libya,    Madagascar,    Mauritius,    Morocco,    Mozambique,    Nigeria,    Reunion,    Seychelles,    Sierra Leone,    Somalia,    South Africa,    Sudan,    Swaziland,    Tanzania,    Tunisia,    Zambia,    Zimbabwe,    Other Markets Africa
2025 Jan,54746.4,6923.3,0,4,0,0,870.2,267.5,12.6,17.6,40,0.6,5.7,15.2,1.2,0.2,0.3,0.9,0.1,267.6,0,0.3,0.3,9.4,15.9,0,1.3,5388.6,0,2.7,0,0.8,39520.8,0,86,16.3,205.5,87.8,6801.2,0,696,1098.7,1765.7,1.6,201.9,64,2600.1,2.9,12.8,0,3775,100.3,7.9,0.3,0.3,6445.1,0.1,0,4.3,0.3,140.6,58.6,539.6,507.1,658.1,10,0,10152.7,1139.7,96.2,1340.2,794,0,109.7,6931.2,91.3,3.1,191.5,5.1,1.9,3.1,126.9,134.6,29.6,41,1248.2,902.9,21.3,45.4,327,636,1.4,7.8,3.4,10.9,294.2,78.1,80,32.3,31.3,494.8,10.6,8.5,113.3,0,132.8,725.1,3.2,1086.5,8.1,666.1,0,574.5,0.6,0,0,0,0,80.3,0,10.1,0,0,0,0.4,705.1,0,68.5,0,36.6,0.3,0,20.2,5.5,0.8,82.8,8.2,0,18.2,0,1.6,0,0,2.8,0.6,18.5,14.4,118.9,0,0.1,0,0,103.5,0,0.1,1.8,12,18.8,1.5,169.1
2024 Dec,56135.9,7873.7,0,12.5,8.1,0,586.8,212.7,5.7,19.4,72.5,0.8,6.1,8.8,2.5,0.3,0,0.5,0.1,263.7,0,0.3,0.7,8.1,10.2,0,0.1,6651.8,0,0.7,0,1.4,39721.8,0,81.4,18.1,94.7,50.1,7168,0,769.2,857,2006.9,4,459.2,76.6,2790.1,5.4,7.6,0,3675.7,152.5,6,0.2,0.4,6569.9,3.9,0,5.5,0.1,41.4,17.3,654.4,507.5,838.9,11.2,0,8847.7,1421.6,67,1659.5,781.2,0.1,71.5,7373.9,77.4,0.3,134.9,8.3,2.6,2.4,133.3,77.4,5.6,49.1,1355.9,1108.3,43.7,56.7,449.3,633.1,2,9.3,3,71,331.4,53.7,71.6,41,19.8,367.1,11.5,7.2,179.5,0,172.8,702.6,14.1,1166.6,11.6,751.8,0,671.1,0.4,2.5,0,0,0.4,60,0,15.5,0,0.1,0.1,1.7,414.7,19.7,0,0,15,0,0,5.5,9.3,0,3.5,4.8,0,12.8,0,1.3,0,0,2.2,1,23.9,89,72.3,0,0.1,0,0,40.1,0,0.4,22.8,11.2,0.2,0.1,79.4
2024 Nov,51802.1,7879.6,0,116.2,0,0,942.4,221.6,8,9.2,70.2,1.3,5.9,7.7,1.2,0.3,0.1,0.3,0,426.6,0,0.1,0.4,18.3,9.8,0,49.6,5988.7,0,0.9,0,0.7,35194.8,0,2.1,16.6,93.7,120.3,6841.2,0,442.4,909.9,1940.8,2.3,164.8,69.5,2879.8,4.9,26.9,0,2793.8,223.6,1.1,0.6,1,5778.2,3.6,0,8.7,0.5,39.1,6.4,496,441.7,973.2,12.9,0,7360,1228.3,41,1538.8,717.1,0.3,13.6,7666.3,104.5,3.3,132.9,10.2,2.2,5.4,100.8,105.5,26.4,29.9,1549.4,1070.4,12,59.9,494,671.4,1.9,11.7,3.2,13.4,274.5,66.6,75.8,34.5,24.8,432.5,12.1,9.3,351.7,0,123.9,684.6,11.4,1146.9,9.2,404.5,0,338.7,0.2,0,0,0,0,55.7,0,9,0,0,0,0.9,656.9,47.6,152.9,0,7.2,0,0,1.5,12.4,0.5,37.5,11.8,0,24.7,0,1.3,0,0,2,0.9,15.9,59.8,17.2,0,0,0.2,0,51.2,0,0,4.1,12,23.6,1.2,171.4
2024 Oct,51415.6,8077.6,0,4.1,0,0,639.9,323.8,7.1,2.4,58,0.8,7.4,9.7,1.4,1.3,0.3,1,0.1,897.9,0,0.3,0.4,14.6,9.7,0,0,6092.8,0,2,0.1,2.3,34284.1,0,115.9,15.4,94.7,15,6070.1,0,386.8,989.6,1973.1,1,203.8,83.2,2943.2,4,0,0,3000.3,55.7,0.7,0.3,1.9,5574,0.5,0.1,7,0.8,66.4,56.5,462.4,551.2,881.1,9.4,0,6976.4,1517.2,50.2,1371.3,803.6,0,1.3,7204.6,100.8,1.2,208,4.6,2.7,1.6,114.2,51.1,4.1,35.9,1393.9,1103.5,13.3,48.3,199.9,644.9,3.8,10.8,1.4,14.4,537.3,54.4,83.3,33.3,31,535.5,8.4,6.6,124.2,0,131.2,743.8,7,940.7,9.6,1097.3,0,1002.6,0.3,0,1,0,0.5,64.9,0,27.7,0,0,0,0.3,751.9,117.5,0.5,0,16.5,0.2,0.3,2.9,18.9,0.5,1.7,29.7,0,14,0,0.8,0,0,0.5,0.7,15.3,130.6,183.7,0.2,0.1,0,0,88.1,42.4,0,0.5,12,0,1.4,72.8
2024 Sep,49068.4,9112,0,8.1,0,0,786.6,236.5,2.3,3.3,50.1,1,7.4,3.7,1.5,0.9,0.1,0.3,0.1,1486.9,0,43.7,0.7,1.8,7.4,0,1.9,6449.3,0,17.4,0,1,31828.7,0,23,27.3,83.9,26.6,5716.2,0.1,476.6,774.4,1650.2,0,133.3,90.1,2381.9,2.2,0.7,0,3041.7,2.4,0.5,0.3,0.1,5462,0.1,0.2,10.3,0.6,37.1,19,458,460.4,507.6,8.7,0,7195.8,1250.2,98.4,1193.1,694.4,0.3,1.2,6825.8,104.3,6.2,101,4.4,3.2,1.5,228.1,66.1,31.9,46.7,1325.7,1081.3,134.6,59.6,502.2,603.3,2.1,10.1,4.2,28.8,270.6,42.7,78.9,32.5,26.4,186.2,10.6,7.3,153.5,0,147.8,571.3,3.2,942.5,6.9,566.9,0,449.6,0.8,0.2,0.1,0,0.1,97.6,0,17.8,0.1,0,0,0.6,735,0,217.8,0,11.1,0,1.2,0.1,12.4,0,24.8,6.3,0,6,0,0.6,0,0,2.6,0.4,19.6,141.7,160,3.5,0,0,0,44.7,0,0.1,1.2,7.1,0.2,1.9,71.4
2024 Aug,49949,8581.4,0,7.2,0,0,550.6,224.4,5,5.7,59.9,0.5,7.8,8.7,1.5,1.1,0.2,0.3,0.1,394.2,0,0.4,0.2,2.6,8.8,0,41.8,7258.3,0,0.9,0.2,0.9,32760.4,0.1,53.6,21.1,107.5,76,6249.9,0,379.7,1047.1,1826.1,0.2,145.7,85.8,2377.9,5.9,0,0,2950.2,51.9,0.7,0.2,0.6,5234.6,0.4,0,6.4,0.2,94.5,44,451.9,515.8,443.7,7.7,0,6813.1,1202.7,65.5,1622,876.3,0,1,7162.9,89.6,2,120.1,5.6,1.6,4.4,136,54.3,30.8,42.6,1293.5,1163.3,96.1,48,302.6,597.7,1.8,11.2,2.8,114.8,263.6,72.6,88.2,39.6,24.9,638.2,12.1,5.3,307.4,0,118.3,555.4,2.1,905.9,10.7,1003.6,0,909.9,0.1,0.1,0,0,0.1,71.2,0.5,20.8,0,0,0,0.9,440.6,17.6,0,0,7.3,0,0,3.1,11.1,0.3,2.6,6.6,0.2,6.9,0,0.8,0,0,1,0.4,18.4,59.9,132.5,0,0.3,0,0,45.1,0,1.9,1.5,11.8,0.6,1.2,109.6
2024 Jul,52965.2,8462,0,6.6,0,0.1,1555.9,244.2,11.3,2.7,67.2,0.9,9.6,10.7,1.5,3.9,0.3,0.5,0.1,313.7,0,0.3,0.8,2.2,9.5,0,5.6,6190.1,0,22.9,0.1,1.5,34850.8,0,143.7,11.8,95.9,79.6,6713.5,0,240.5,1168.8,1658.9,0.3,123.4,90.3,2616.3,10.1,0,0,3390.7,185.5,1.9,0.2,0.4,6082.4,0,0,8.1,0.9,159.1,68.2,439.5,777.5,541.1,11.7,0,6654,1251.3,52.8,1507,763.8,0,1.5,7791,110.9,1.5,127.3,8.5,11.9,3,139.3,78.4,39.2,58.8,1646.6,1169.1,58,52,108.1,640.7,1.3,6.4,1.6,22.2,414.6,58.1,74.7,95.5,22.7,340.9,18.7,7.6,232.3,0,174.1,698,3.8,1352.2,12.9,1328.6,0,1233.4,0.2,0,0,0,0,65.9,0,28.4,0,0,0,0.6,532.8,0,226.8,0,9.7,0.1,0,5.4,25.7,0.2,4.4,12.2,0,18.3,0,0.3,0,0,2.6,1,20,8.2,77.7,3.5,0,0.2,0,41,47.5,0.3,0.3,7.8,0.3,1.6,17.7
2024 Jun,48845.9,7611.1,0,17.2,0,0,522.9,240.4,19.2,2.5,55,0.8,6.8,70.1,1.5,2.2,1.2,0.4,0.1,333.2,0,0.9,0.2,2.2,11.8,0,2.2,6316.9,0,0.5,0,3.1,33001.5,0.1,96.5,16.6,152.4,25.8,6111,0.1,201.3,989,1605.1,0.1,54,81.1,2095.7,2,0,0,3022.2,127.2,0.7,0,0.7,5278.6,13,0,9.1,0.3,61.4,14.9,431.1,813.9,884.8,10.5,0,7476.2,1214.4,46.6,1487.4,653.9,0.2,23.4,6634.3,126.7,1.4,101.6,4,1.8,2,119.1,216.4,2.9,36,1327,1049.9,54.2,53,183.3,538.4,2.6,11.5,2.4,18.9,271,58.6,74.6,34.8,24.2,372.6,10.7,6.8,185.3,0,174.9,685.8,2.6,867.3,12,1167.5,0,1066.1,0.2,0.2,0,0,0,92.5,0,8,0,0,0,0.5,431.4,0,0,0.1,19.6,0,0,5.7,15.8,0.2,4.5,3.1,0,12.2,0,0.9,0.2,45.5,2.8,0.8,22.1,109.4,13.2,0.3,0.7,0,0,54,0,0.1,0.3,5.9,32.6,1,80.4
2024 May,52681.4,8388,0,13.9,0,0,1205.4,321.4,12.8,13.2,60.4,2.4,8,4.8,1.7,1.1,0.7,0.8,0.3,311.8,0,0.1,0.3,2,9.8,0,2.5,6411.2,0,0.8,0.1,2.4,34545,0,1.4,18.1,240.6,21.2,6416.5,0.1,678.4,1169.4,1794.9,0.1,0,71.3,2523.8,7.1,0,0,3117.1,218.1,1.6,0.1,1.1,6504.4,0,0.1,5.2,0.2,87.2,42.6,435.8,544.5,764.9,8.8,0,6345.3,1233.3,62.9,1453.3,683.9,0.2,91.4,7970.1,99.8,1,133.6,66.3,7.9,3.3,98.9,45.9,47.9,42.6,1441.8,1138.3,9.4,72.6,128,613.6,1.3,9.6,4.3,20.7,489.6,120.8,73.9,63.5,35.2,491.2,8.5,8.1,307.2,0,152.8,1049.5,1.6,1172.1,9.5,1171.9,0,1010.5,0.3,0.2,0.1,0,0,85.4,0,74.2,0,0,0,1.2,606.5,0,0,0,16.4,0,0.3,2.3,12.6,0,3.2,1.5,0,6.1,0,0.8,0,0,3.4,1.3,27.3,48.3,60.4,0,0,0.1,0,265.2,0,0.1,5.7,32.1,0.9,0.4,117.9
2024 Apr,52901,8971.9,0,18.3,19.8,0,734,731.1,5.1,59.6,64.3,1,5.6,3.8,2.3,2.6,0,0.5,0,328,0,0.1,0.2,1.6,8.7,0,0.5,6970,0.1,13.4,0,1,34399.6,0,44.6,25,210.9,101.2,6909.9,0.1,184.7,941.7,1466,0.1,255.7,85.6,2264.1,3.1,0,0,3089.1,78.7,0.6,0.3,0.3,5915.8,0.1,0,21.6,0.5,91.5,6.3,456,927.3,850.5,11.6,0,7089,1379.3,99.7,1106.3,772.8,0,9.6,7531.1,104.6,3.8,111.6,4.2,3.2,2.6,97.6,52.8,7,35.6,1510.9,1063.1,23.3,49.8,107.8,569.5,1.9,6.5,3.1,22.1,251.6,142,198,38.5,18.6,677.1,9.8,7.6,141.6,0,137.2,921.5,2.1,1193.5,11.1,1164.3,0,968.5,0.3,0.4,0,0,0,62,0,132.2,0,0,0,1,834,0.1,148.9,0,14.6,0,0,1.6,7.3,0.1,3.5,5.1,0,4.2,0.2,0.3,0,0,1.7,0.7,14.6,97.4,6.4,0.3,0,0.1,0,358.6,0,2.8,4.3,5.7,0.3,4.5,150.5
